Case_ID,Sample_ID,Age_2010,Race,Sex,Highest_Grade_Completed,Marital_Status,Region,Income_Year,Income,avg_LT_rate
27,5,49,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2004,0,4.845420000000001
27,5,49,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2006,0,4.76882
27,5,49,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2008,15769,4.556494023904381
27,5,49,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2010,16000,3.9247597609561753
29,5,49,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2000,50000,6.186852589641434
29,5,49,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2002,61000,5.480178064516129
29,5,49,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2004,62000,4.845420000000001
29,5,49,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2006,85000,4.76882
29,5,49,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2008,62000,4.556494023904381
29,5,49,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2010,30000,3.9247597609561753
30,5,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,NA,2000,0,6.186852589641434
30,5,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,NA,2002,0,5.480178064516129
30,5,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,NA,2004,36000,4.845420000000001
30,5,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,NA,2006,0,4.76882
30,5,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,NA,2008,0,4.556494023904381
30,5,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,NA,2010,0,3.9247597609561753
31,4,46,Hispanic,Male,12TH GRADE,Married,West,2000,26000,6.186852589641434
31,4,46,Hispanic,Male,12TH GRADE,Married,West,2002,36000,5.480178064516129
31,4,46,Hispanic,Male,12TH GRADE,Married,West,2004,36000,4.845420000000001
31,4,46,Hispanic,Male,12TH GRADE,Married,West,2006,40000,4.76882
31,4,46,Hispanic,Male,12TH GRADE,Married,West,2008,46000,4.556494023904381
31,4,46,Hispanic,Male,12TH GRADE,Married,West,2010,0,3.9247597609561753
34,1,51,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Divorced,Northeast,2000,35000,6.186852589641434
34,1,51,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Divorced,Northeast,2002,25000,5.480178064516129
34,1,51,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Divorced,Northeast,2004,30000,4.845420000000001
34,1,51,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Divorced,Northeast,2006,279816,4.76882
34,1,51,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Divorced,Northeast,2008,3600,4.556494023904381
34,1,51,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Divorced,Northeast,2010,30000,3.9247597609561753
36,1,47,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2000,0,6.186852589641434
36,1,47,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2002,65000,5.480178064516129
36,1,47,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2004,115000,4.845420000000001
36,1,47,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2006,0,4.76882
36,1,47,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2008,30000,4.556494023904381
36,1,47,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2010,0,3.9247597609561753
37,5,51,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2000,13000,6.186852589641434
37,5,51,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2002,30000,5.480178064516129
37,5,51,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2004,34000,4.845420000000001
37,5,51,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2006,37000,4.76882
37,5,51,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2008,38000,4.556494023904381
37,5,51,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2010,44000,3.9247597609561753
38,5,47,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2000,44000,6.186852589641434
38,5,47,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2002,58000,5.480178064516129
38,5,47,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2004,61158,4.845420000000001
38,5,47,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2006,70000,4.76882
38,5,47,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2008,87000,4.556494023904381
38,5,47,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2010,97500,3.9247597609561753
40,2,50,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2000,0,6.186852589641434
40,2,50,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2002,1600,5.480178064516129
40,2,50,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2004,700,4.845420000000001
40,2,50,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2006,0,4.76882
40,2,50,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2008,0,4.556494023904381
40,2,50,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2010,40000,3.9247597609561753
41,2,47,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2000,115000,6.186852589641434
41,2,47,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2002,105000,5.480178064516129
41,2,47,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2004,73000,4.845420000000001
41,2,47,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2006,120000,4.76882
41,2,47,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2008,100000,4.556494023904381
41,2,47,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2010,130000,3.9247597609561753
42,1,46,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2000,50000,6.186852589641434
42,1,46,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2002,45000,5.480178064516129
42,1,46,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2004,48000,4.845420000000001
42,1,46,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2006,45000,4.76882
42,1,46,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2008,51000,4.556494023904381
42,1,46,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2010,48000,3.9247597609561753
43,6,48,Non-Black/Non-Hispanic,Female,12TH GRADE,Separated,Northeast,2000,6000,6.186852589641434
43,6,48,Non-Black/Non-Hispanic,Female,12TH GRADE,Separated,Northeast,2002,0,5.480178064516129
43,6,48,Non-Black/Non-Hispanic,Female,12TH GRADE,Separated,Northeast,2004,0,4.845420000000001
43,6,48,Non-Black/Non-Hispanic,Female,12TH GRADE,Separated,Northeast,2006,0,4.76882
43,6,48,Non-Black/Non-Hispanic,Female,12TH GRADE,Separated,Northeast,2008,0,4.556494023904381
43,6,48,Non-Black/Non-Hispanic,Female,12TH GRADE,Separated,Northeast,2010,0,3.9247597609561753
44,5,48,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2000,0,6.186852589641434
44,5,48,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2002,0,5.480178064516129
44,5,48,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2004,0,4.845420000000001
44,5,48,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2006,7200,4.76882
44,5,48,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2008,20280,4.556494023904381
44,5,48,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2010,29120,3.9247597609561753
47,1,51,Non-Black/Non-Hispanic,Male,12TH GRADE,Never Married,Northeast,2000,65000,6.186852589641434
47,1,51,Non-Black/Non-Hispanic,Male,12TH GRADE,Never Married,Northeast,2002,57995,5.480178064516129
47,1,51,Non-Black/Non-Hispanic,Male,12TH GRADE,Never Married,Northeast,2004,42000,4.845420000000001
47,1,51,Non-Black/Non-Hispanic,Male,12TH GRADE,Never Married,Northeast,2006,66309,4.76882
47,1,51,Non-Black/Non-Hispanic,Male,12TH GRADE,Never Married,Northeast,2008,68000,4.556494023904381
47,1,51,Non-Black/Non-Hispanic,Male,12TH GRADE,Never Married,Northeast,2010,68000,3.9247597609561753
49,5,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2000,33361,6.186852589641434
49,5,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2002,35000,5.480178064516129
49,5,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2004,39900,4.845420000000001
49,5,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2006,34000,4.76882
49,5,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2008,0,4.556494023904381
49,5,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2010,55000,3.9247597609561753
50,5,51,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2000,27000,6.186852589641434
50,5,51,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2002,21000,5.480178064516129
50,5,51,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2004,30000,4.845420000000001
50,5,51,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2006,0,4.76882
50,5,51,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2008,36400,4.556494023904381
50,5,51,Non-Black/Non-Hispanic,Female,12TH GRADE,Married,Northeast,2010,49500,3.9247597609561753
53,4,46,Hispanic,Male,12TH GRADE,Never Married,West,2000,1200,6.186852589641434
53,4,46,Hispanic,Male,12TH GRADE,Never Married,West,2002,0,5.480178064516129
53,4,46,Hispanic,Male,12TH GRADE,Never Married,West,2004,0,4.845420000000001
53,4,46,Hispanic,Male,12TH GRADE,Never Married,West,2006,325,4.76882
53,4,46,Hispanic,Male,12TH GRADE,Never Married,West,2008,2453,4.556494023904381
53,4,46,Hispanic,Male,12TH GRADE,Never Married,West,2010,6000,3.9247597609561753
57,5,51,Non-Black/Non-Hispanic,Female,12TH GRADE,Divorced,Northeast,2000,2500,6.186852589641434
57,5,51,Non-Black/Non-Hispanic,Female,12TH GRADE,Divorced,Northeast,2002,1200,5.480178064516129
57,5,51,Non-Black/Non-Hispanic,Female,12TH GRADE,Divorced,Northeast,2004,9000,4.845420000000001
57,5,51,Non-Black/Non-Hispanic,Female,12TH GRADE,Divorced,Northeast,2006,12000,4.76882
57,5,51,Non-Black/Non-Hispanic,Female,12TH GRADE,Divorced,Northeast,2008,51000,4.556494023904381
57,5,51,Non-Black/Non-Hispanic,Female,12TH GRADE,Divorced,Northeast,2010,61000,3.9247597609561753
61,5,47,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2000,40000,6.186852589641434
61,5,47,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2002,52000,5.480178064516129
61,5,47,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2004,55500,4.845420000000001
61,5,47,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2006,63000,4.76882
61,5,47,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2008,65000,4.556494023904381
61,5,47,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2010,0,3.9247597609561753
62,5,45,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Divorced,Northeast,2000,34000,6.186852589641434
62,5,45,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Divorced,Northeast,2002,27000,5.480178064516129
62,5,45,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Divorced,Northeast,2004,29000,4.845420000000001
62,5,45,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Divorced,Northeast,2006,30000,4.76882
62,5,45,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Divorced,Northeast,2008,31800,4.556494023904381
62,5,45,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Divorced,Northeast,2010,46000,3.9247597609561753
63,1,49,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2000,115000,6.186852589641434
63,1,49,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2002,120000,5.480178064516129
63,1,49,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2004,120000,4.845420000000001
63,1,49,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2006,108000,4.76882
63,1,49,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2008,120000,4.556494023904381
63,1,49,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2010,140000,3.9247597609561753
68,5,47,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2000,0,6.186852589641434
68,5,47,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2002,0,5.480178064516129
68,5,47,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2004,0,4.845420000000001
68,5,47,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2006,0,4.76882
68,5,47,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2008,0,4.556494023904381
68,5,47,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2010,0,3.9247597609561753
69,1,45,Non-Black/Non-Hispanic,Male,6TH YEAR COLLEGE,Married,Northeast,2000,70000,6.186852589641434
69,1,45,Non-Black/Non-Hispanic,Male,6TH YEAR COLLEGE,Married,Northeast,2002,71000,5.480178064516129
69,1,45,Non-Black/Non-Hispanic,Male,6TH YEAR COLLEGE,Married,Northeast,2004,94000,4.845420000000001
69,1,45,Non-Black/Non-Hispanic,Male,6TH YEAR COLLEGE,Married,Northeast,2006,120000,4.76882
69,1,45,Non-Black/Non-Hispanic,Male,6TH YEAR COLLEGE,Married,Northeast,2008,147000,4.556494023904381
69,1,45,Non-Black/Non-Hispanic,Male,6TH YEAR COLLEGE,Married,Northeast,2010,146000,3.9247597609561753
72,5,50,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Never Married,Northeast,2000,36000,6.186852589641434
72,5,50,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Never Married,Northeast,2002,36000,5.480178064516129
72,5,50,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Never Married,Northeast,2004,37000,4.845420000000001
72,5,50,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Never Married,Northeast,2006,44000,4.76882
72,5,50,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Never Married,Northeast,2008,40500,4.556494023904381
72,5,50,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Never Married,Northeast,2010,45000,3.9247597609561753
73,1,46,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2000,216200,6.186852589641434
73,1,46,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2002,236000,5.480178064516129
73,1,46,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2004,120000,4.845420000000001
73,1,46,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2006,279816,4.76882
73,1,46,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2008,150000,4.556494023904381
73,1,46,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2010,110000,3.9247597609561753
76,1,45,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2000,30000,6.186852589641434
76,1,45,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2002,36000,5.480178064516129
76,1,45,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2004,37590,4.845420000000001
76,1,45,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2006,37000,4.76882
76,1,45,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2008,50000,4.556494023904381
76,1,45,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2010,70000,3.9247597609561753
77,5,45,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Never Married,Northeast,2000,56000,6.186852589641434
77,5,45,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Never Married,Northeast,2002,68000,5.480178064516129
77,5,45,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Never Married,Northeast,2004,68977,4.845420000000001
77,5,45,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Never Married,Northeast,2006,95000,4.76882
77,5,45,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Never Married,Northeast,2008,75000,4.556494023904381
77,5,45,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Never Married,Northeast,2010,110000,3.9247597609561753
80,1,46,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Never Married,West,2000,15500,6.186852589641434
80,1,46,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Never Married,West,2002,10500,5.480178064516129
