"","Case_ID","Sample_ID","Income_2000","Income_2002","Income_2004","Income_2006","Income_2008","Income_2010","Age_2010","Race","Sex","Highest_Grade_Completed","Marital_Status","Region"
"53",99,5,4000,5000,8400,9000,11000,35000,52,"Non-Black/Non-Hispanic","Female","2ND YEAR COLLEGE","Married","Northeast"
"54",100,5,43000,49000,54000,58000,58000,80000,46,"Non-Black/Non-Hispanic","Female","1ST YEAR COLLEGE","Divorced","Northeast"
"55",103,1,57000,60000,62000,68000,68000,71000,51,"Non-Black/Non-Hispanic","Male","4TH YEAR COLLEGE","Separated","Northeast"
"56",106,1,71000,86000,93000,105000,105000,110000,49,"Non-Black/Non-Hispanic","Male","4TH YEAR COLLEGE","Married","Northeast"
"57",107,1,38500,41000,44000,43000,47000,51000,48,"Non-Black/Non-Hispanic","Male","4TH YEAR COLLEGE","Married","Northeast"
"58",108,1,50000,95000,70000,0,70000,65000,51,"Non-Black/Non-Hispanic","Male","8TH YEAR COLLEGE OR MORE","Married","Northeast"
"59",110,1,58000,62000,68000,115000,91000,94000,52,"Non-Black/Non-Hispanic","Male","1ST YEAR COLLEGE","Married","Northeast"
"60",111,5,32000,34000,37000,36000,40000,38000,50,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"61",117,1,56000,52000,62000,83000,50000,30000,50,"Non-Black/Non-Hispanic","Male","3RD YEAR COLLEGE","Married","Northeast"
"62",119,1,34000,40000,25000,12000,0,0,52,"Non-Black/Non-Hispanic","Male","12TH GRADE","Never Married","Northeast"
"63",120,1,60000,236000,265933,150000,307823,110000,48,"Non-Black/Non-Hispanic","Male","6TH YEAR COLLEGE","Never Married","Northeast"
"64",121,5,32000,35000,34078,41000,45000,48000,45,"Non-Black/Non-Hispanic","Female","4TH YEAR COLLEGE","Never Married","Northeast"
"65",124,5,0,0,0,1100,0,0,48,"Non-Black/Non-Hispanic","Female","3RD YEAR COLLEGE","Divorced","Northeast"
"66",126,1,38000,65000,65000,85000,65000,45000,51,"Non-Black/Non-Hispanic","Male","2ND YEAR COLLEGE","Married","Northeast"
"67",129,1,68000,72000,75000,80000,95000,115000,49,"Non-Black/Non-Hispanic","Male","4TH YEAR COLLEGE","Never Married","Northeast"
"68",137,5,127000,105000,265933,279816,307823,312324,48,"Non-Black/Non-Hispanic","Female","4TH YEAR COLLEGE","Married","Northeast"
"69",138,5,0,10000,8000,8000,2500,3500,47,"Non-Black/Non-Hispanic","Female","4TH YEAR COLLEGE","Married","Northeast"
"70",139,1,45000,75000,0,120000,70000,50000,47,"Non-Black/Non-Hispanic","Male","2ND YEAR COLLEGE","Married","South"
"71",140,5,55000,58000,63000,65000,65000,80000,51,"Non-Black/Non-Hispanic","Female","6TH YEAR COLLEGE","Married","Northeast"
"72",145,1,11000,14000,17000,10000,20000,16000,47,"Non-Black/Non-Hispanic","Male","12TH GRADE","Never Married","Northeast"
"73",146,1,27000,58000,56700,50000,63000,90000,46,"Non-Black/Non-Hispanic","Male","12TH GRADE","Divorced","South"
"74",147,5,6000,5000,14000,12000,12000,12000,48,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"75",148,1,34700,34000,26300,21800,35200,43000,46,"Non-Black/Non-Hispanic","Male","12TH GRADE","Never Married","Northeast"
"76",149,5,68000,85000,85000,95000,111000,105000,46,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"77",150,1,26000,6000,240,0,0,500,50,"Non-Black/Non-Hispanic","Male","12TH GRADE","Never Married","Northeast"
"78",152,5,58800,62500,55000,85000,103000,104000,48,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"79",153,5,13000,9500,24000,21000,0,0,46,"Non-Black/Non-Hispanic","Female","12TH GRADE","Divorced","Northeast"
"80",160,5,40000,55000,58000,65000,67000,67000,49,"Non-Black/Non-Hispanic","Female","2ND YEAR COLLEGE","Married","Northeast"
"81",161,5,39368,36000,45000,16000,34000,41000,48,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"82",165,5,13000,17000,20000,50000,0,42000,49,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"83",171,1,57000,81000,85000,98000,103000,105000,48,"Non-Black/Non-Hispanic","Male","4TH YEAR COLLEGE","Married","West"
"84",172,6,0,0,0,0,0,0,52,"Non-Black/Non-Hispanic","Female","9TH GRADE","Never Married","Northeast"
"85",178,1,42500,25000,35000,55000,50000,312324,51,"Non-Black/Non-Hispanic","Male","4TH YEAR COLLEGE","Married","Northeast"
"86",179,5,30000,30000,28000,29000,29000,30000,51,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"87",181,1,216200,125000,75000,1e+05,65000,75000,52,"Non-Black/Non-Hispanic","Male","1ST YEAR COLLEGE","Married","Northeast"
"88",183,5,15000,0,0,0,20000,34000,51,"Non-Black/Non-Hispanic","Female","12TH GRADE","Widowed","Northeast"
"89",184,5,0,0,0,6000,21700,35169,49,"Non-Black/Non-Hispanic","Female","4TH YEAR COLLEGE","Married","Northeast"
"90",185,1,25000,15000,19000,34000,59000,56000,46,"Non-Black/Non-Hispanic","Male","12TH GRADE","Never Married","Northeast"
"91",186,5,92000,105000,0,65000,56000,92000,50,"Non-Black/Non-Hispanic","Female","2ND YEAR COLLEGE","Separated","Northeast"
"92",189,1,55000,73000,80000,88000,130000,130000,51,"Non-Black/Non-Hispanic","Male","4TH YEAR COLLEGE","Never Married","South"
"93",190,5,60000,82000,76000,92000,1e+05,103000,48,"Non-Black/Non-Hispanic","Female","6TH YEAR COLLEGE","Divorced","Northeast"
"94",191,1,75000,95000,125000,118000,138000,120000,46,"Non-Black/Non-Hispanic","Male","7TH YEAR COLLEGE","Married","Northeast"
"95",193,1,78600,93000,101000,105000,115000,125000,52,"Non-Black/Non-Hispanic","Male","5TH YEAR COLLEGE","Married","Northeast"
"96",195,1,216200,236000,265933,279816,307823,50000,50,"Non-Black/Non-Hispanic","Male","6TH YEAR COLLEGE","Married","West"
"97",198,1,90000,95000,112000,130000,307823,140000,46,"Non-Black/Non-Hispanic","Male","7TH YEAR COLLEGE","Married","South"
"98",199,1,50000,45000,45000,38000,50000,45000,51,"Non-Black/Non-Hispanic","Male","12TH GRADE","Married","Northeast"
"99",200,5,20000,15000,24000,35000,38000,40000,51,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"100",202,1,18000,52000,33000,55000,57000,9000,49,"Non-Black/Non-Hispanic","Male","3RD YEAR COLLEGE","Never Married","West"
"101",207,1,25000,0,33000,32000,30000,36000,46,"Non-Black/Non-Hispanic","Male","11TH GRADE","Divorced","Northeast"
"102",210,1,35000,32000,44000,50000,55000,65000,47,"Non-Black/Non-Hispanic","Male","4TH YEAR COLLEGE","Married","Northeast"
"103",211,5,0,0,0,0,0,0,45,"Non-Black/Non-Hispanic","Female","4TH YEAR COLLEGE","Married","Northeast"
"104",212,1,0,50000,65000,0,0,1e+05,48,"Non-Black/Non-Hispanic","Male","12TH GRADE","Married","Northeast"
"105",214,1,75000,78000,84000,94000,80000,157000,45,"Non-Black/Non-Hispanic","Male","3RD YEAR COLLEGE","Married","West"
"106",218,1,216200,236000,265933,279816,307823,312324,52,"Non-Black/Non-Hispanic","Male","4TH YEAR COLLEGE","Married","Northeast"
"107",219,5,78000,88000,96313,102000,11587,116290,50,"Non-Black/Non-Hispanic","Female","8TH YEAR COLLEGE OR MORE","Married","Northeast"
"108",220,5,83000,93000,97000,105000,104000,110000,49,"Non-Black/Non-Hispanic","Female","6TH YEAR COLLEGE","Divorced","Northeast"
"109",221,7,0,0,0,0,28000,0,45,"Black","Female","10TH GRADE","Never Married","Northeast"
"110",222,3,0,0,0,0,0,0,48,"Black","Male","9TH GRADE","Never Married","Northeast"
"111",223,3,54000,60000,59000,48000,47000,58000,47,"Black","Male","10TH GRADE","Married","Northeast"
"112",224,7,12000,10000,11440,11000,11057,11000,49,"Black","Female","12TH GRADE","Never Married","Northeast"
"113",228,8,0,2472,2100,1600,5468,4800,52,"Hispanic","Female","10TH GRADE","Married",NA
"114",229,5,7000,32000,0,0,8500,22000,47,"Non-Black/Non-Hispanic","Female","12TH GRADE","Separated","Northeast"
"115",230,1,32000,44000,50000,55000,65000,77000,45,"Non-Black/Non-Hispanic","Male","2ND YEAR COLLEGE","Never Married","Northeast"
"116",231,5,28176,30700,38400,40900,45000,48000,52,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"117",232,1,27000,35000,37000,45000,45000,40000,48,"Non-Black/Non-Hispanic","Male","2ND YEAR COLLEGE","Never Married","Northeast"
"118",233,1,33000,39000,48000,39000,37000,55000,45,"Non-Black/Non-Hispanic","Male","12TH GRADE","Married","Northeast"
"119",235,1,60000,80000,84000,98000,108000,12000,46,"Non-Black/Non-Hispanic","Male","2ND YEAR COLLEGE","Married","Northeast"
"120",236,5,33500,41000,41000,30000,35000,50000,48,"Non-Black/Non-Hispanic","Female","2ND YEAR COLLEGE","Married","Northeast"
"121",237,5,0,0,0,0,0,0,52,"Non-Black/Non-Hispanic","Female","12TH GRADE","Divorced","South"
"122",240,6,26000,40000,55000,38000,23000,32000,47,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"123",242,5,49000,99900,122,75000,49000,98000,51,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","West"
"124",243,1,37500,39000,66000,94600,102000,108000,51,"Non-Black/Non-Hispanic","Male","12TH GRADE","Divorced","South"
"125",244,5,4247,7000,4000,5000,10500,11000,52,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"126",245,5,7200,20000,20000,25000,31300,33000,47,"Non-Black/Non-Hispanic","Female","2ND YEAR COLLEGE","Married","Northeast"
"127",247,2,55000,71000,81500,79000,101000,125000,51,"Non-Black/Non-Hispanic","Male","8TH YEAR COLLEGE OR MORE","Married","South"
"128",248,2,9000,14000,0,2000,16000,18000,49,"Non-Black/Non-Hispanic","Male","2ND YEAR COLLEGE","Divorced","Northeast"
"129",249,6,8000,2000,0,0,0,10000,46,"Non-Black/Non-Hispanic","Female","2ND YEAR COLLEGE","Married","Northeast"
"130",250,5,0,0,0,0,0,60000,51,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"131",251,2,26000,0,0,0,0,0,47,"Non-Black/Non-Hispanic","Male","1ST YEAR COLLEGE","Married","Northeast"
"132",252,6,2000,7000,7280,6000,9250,7000,45,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"133",253,1,13100,19700,10000,20000,27000,26000,45,"Non-Black/Non-Hispanic","Male","11TH GRADE","Married","Northeast"
"134",254,5,29000,29000,22000,28500,40000,40000,48,"Non-Black/Non-Hispanic","Female","12TH GRADE","Divorced","Northeast"
"135",255,5,0,0,0,0,3000,6000,47,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"136",256,5,22500,20000,21000,3000,2077,0,48,"Non-Black/Non-Hispanic","Female","1ST YEAR COLLEGE","Married","South"
"137",257,1,22000,15000,13000,22000,10000,8000,45,"Non-Black/Non-Hispanic","Male","12TH GRADE","Divorced","South"
"138",258,5,18300,13000,0,0,0,0,51,"Non-Black/Non-Hispanic","Female","2ND YEAR COLLEGE","Married","Northeast"
"139",259,1,25500,48000,8000,14000,18000,28000,51,"Non-Black/Non-Hispanic","Male","12TH GRADE","Divorced","Northeast"
"140",260,1,45000,48000,60000,65000,64000,63000,49,"Non-Black/Non-Hispanic","Male","3RD YEAR COLLEGE","Married","Northeast"
"141",269,2,216200,236000,265933,279816,307823,312324,50,"Non-Black/Non-Hispanic","Male","4TH YEAR COLLEGE","Married","Northeast"
"142",272,5,0,0,0,0,0,0,53,"Non-Black/Non-Hispanic","Female","4TH YEAR COLLEGE","Married","Northeast"
"143",273,1,64000,62000,58000,61500,73000,58000,50,"Non-Black/Non-Hispanic","Male","2ND YEAR COLLEGE","Married","South"
"144",274,2,12000,24500,40000,45000,46000,9000,49,"Non-Black/Non-Hispanic","Male","1ST YEAR COLLEGE","Married","Northeast"
"145",275,6,0,0,35000,52000,48000,80000,46,"Non-Black/Non-Hispanic","Female","2ND YEAR COLLEGE","Married","Northeast"
"146",279,1,56000,46500,52500,64500,65200,74000,47,"Non-Black/Non-Hispanic","Male","12TH GRADE","Divorced","South"
"147",281,1,86000,93000,93000,99000,115000,115000,48,"Non-Black/Non-Hispanic","Male","7TH YEAR COLLEGE","Married","Northeast"
"148",282,5,4000,15000,15000,14000,15000,28000,46,"Non-Black/Non-Hispanic","Female","4TH YEAR COLLEGE","Separated","Northeast"
"149",283,4,49500,55000,52000,53000,57000,80000,51,"Hispanic","Male","12TH GRADE","Divorced","Northeast"
"150",284,4,78000,95000,90000,90000,105000,94000,50,"Hispanic","Male","2ND YEAR COLLEGE","Married","Northeast"
"151",285,8,23000,22000,27000,35000,40000,48000,48,"Hispanic","Female","9TH GRADE","Married","South"
"152",286,8,34000,37500,48700,53000,66400,64000,45,"Hispanic","Female","2ND YEAR COLLEGE","Never Married","Northeast"
"153",287,5,26000,23000,28000,32000,33000,32000,51,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"154",288,5,5000,18200,7000,12000,15000,22000,48,"Non-Black/Non-Hispanic","Female","12TH GRADE","Never Married","Northeast"
"155",289,5,12500,16000,20000,18000,20000,0,47,"Non-Black/Non-Hispanic","Female","12TH GRADE","Never Married","Northeast"
"156",290,8,10000,11000,15000,19000,10920,15000,49,"Hispanic","Female","11TH GRADE","Married","Northeast"
"157",291,3,1000,8000,10000,9000,10000,2820,50,"Black","Male","12TH GRADE","Never Married","Northeast"
"158",292,5,9000,26000,45000,50000,55400,59000,52,"Non-Black/Non-Hispanic","Female","6TH YEAR COLLEGE","Married","Northeast"
"159",293,5,20000,21000,23500,35000,42500,50000,50,"Non-Black/Non-Hispanic","Female","1ST YEAR COLLEGE","Married","South"
"160",301,4,35000,32000,35500,35500,38000,42000,48,"Hispanic","Male","12TH GRADE","Married","Northeast"
"161",302,4,15000,15000,0,0,18000,20000,49,"Hispanic","Male","12TH GRADE","Divorced","Northeast"
"162",303,4,35000,15000,35000,35000,35000,34000,46,"Hispanic","Male","12TH GRADE","Divorced","Northeast"
"163",305,8,32000,36000,36000,38000,35000,14000,47,"Hispanic","Female","12TH GRADE","Divorced","South"
"164",307,5,15000,23000,27000,23000,25000,420,52,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","South"
"165",310,1,0,0,50000,70000,125000,30000,49,"Non-Black/Non-Hispanic","Male","12TH GRADE","Married","South"
"166",311,1,40000,50000,29000,50000,0,0,45,"Non-Black/Non-Hispanic","Male","12TH GRADE","Divorced","Northeast"
"167",317,1,27000,28500,64000,31500,35000,45100,50,"Non-Black/Non-Hispanic","Male","4TH YEAR COLLEGE","Married","Northeast"
"168",319,5,80000,125000,90000,120000,118000,160000,52,"Non-Black/Non-Hispanic","Female","6TH YEAR COLLEGE","Divorced","Northeast"
"169",320,1,90000,80000,80000,110000,1e+05,1e+05,49,"Non-Black/Non-Hispanic","Male","5TH YEAR COLLEGE","Married","Northeast"
"170",324,1,0,0,15000,23000,23000,39000,47,"Non-Black/Non-Hispanic","Male","9TH GRADE","Never Married","Northeast"
"171",332,4,15000,24000,26000,0,0,0,46,"Hispanic","Male","12TH GRADE","Divorced","Northeast"
"172",333,7,50000,65000,67000,80000,83000,87000,52,"Black","Female","12TH GRADE","Married","Northeast"
"173",335,7,20000,23000,12000,10000,30000,28000,52,"Black","Female","2ND YEAR COLLEGE","Separated","South"
"174",337,3,0,0,0,0,2200,8000,52,"Black","Male","12TH GRADE","Widowed","Northeast"
"175",338,7,27000,36000,37000,36000,0,300,50,"Black","Female","12TH GRADE","Widowed","Northeast"
"176",342,1,64000,70000,83000,96000,95000,1e+05,47,"Non-Black/Non-Hispanic","Male","6TH YEAR COLLEGE","Married","Northeast"
"177",344,5,0,0,0,12000,14000,14000,50,"Non-Black/Non-Hispanic","Female","4TH YEAR COLLEGE","Married","Northeast"
"178",346,1,65000,88000,117000,120000,153500,312324,48,"Non-Black/Non-Hispanic","Male","4TH YEAR COLLEGE","Divorced","West"
"179",348,1,216200,236000,265933,279816,307823,312324,53,"Non-Black/Non-Hispanic","Male","1ST YEAR COLLEGE","Married","Northeast"
"180",350,1,51000,55000,73000,1e+05,46000,6000,47,"Non-Black/Non-Hispanic","Male","4TH YEAR COLLEGE","Married","Northeast"
"181",351,1,30000,236000,0,39000,40000,0,50,"Non-Black/Non-Hispanic","Male","1ST YEAR COLLEGE","Married","Northeast"
"182",352,5,0,0,0,0,0,0,48,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"183",354,5,5000,5000,6500,9600,10000,12000,52,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"184",355,1,70000,118000,265933,120000,153000,312324,45,"Non-Black/Non-Hispanic","Male","12TH GRADE","Married","Northeast"
"185",356,1,52000,42000,48000,50000,52000,59961,47,"Non-Black/Non-Hispanic","Male","11TH GRADE","Married","Northeast"
"186",357,1,70000,70000,70000,80000,90000,1e+05,51,"Non-Black/Non-Hispanic","Male","4TH YEAR COLLEGE","Married","Northeast"
"187",358,1,68000,82000,1e+05,110000,131000,141000,48,"Non-Black/Non-Hispanic","Male","4TH YEAR COLLEGE","Married","Northeast"
"188",360,5,0,8500,8000,34000,38000,0,48,"Non-Black/Non-Hispanic","Female","6TH YEAR COLLEGE","Married","South"
"189",362,1,31000,45000,45000,48000,53021,52550,52,"Non-Black/Non-Hispanic","Male","12TH GRADE","Never Married","Northeast"
"190",363,5,0,0,0,0,0,1500,48,"Non-Black/Non-Hispanic","Female","12TH GRADE","Divorced","South"
"191",367,5,45000,51000,54000,58000,58000,62000,50,"Non-Black/Non-Hispanic","Female","4TH YEAR COLLEGE","Never Married","South"
"192",369,5,0,0,7000,12000,25000,30000,51,"Non-Black/Non-Hispanic","Female","4TH YEAR COLLEGE","Married","Northeast"
"193",370,5,0,0,15000,20000,35000,40000,50,"Non-Black/Non-Hispanic","Female","4TH YEAR COLLEGE","Married","Northeast"
"194",373,5,22000,26000,18000,9000,23000,0,51,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","South"
"195",375,1,35000,20000,18000,17500,20000,12000,49,"Non-Black/Non-Hispanic","Male","11TH GRADE","Divorced","Northeast"
"196",376,2,40000,40000,42000,47000,56000,67000,49,"Non-Black/Non-Hispanic","Male","7TH YEAR COLLEGE","Divorced","Northeast"
"197",380,3,9000,12000,15600,14000,21000,21000,52,"Black","Male","11TH GRADE","Separated","South"
"198",381,3,62000,90000,110000,105000,92000,105000,52,"Black","Male","12TH GRADE","Never Married","Northeast"
"199",385,7,37000,43000,39535,41500,42000,46000,49,"Black","Female","12TH GRADE","Married","Northeast"
"200",388,7,50000,60000,65000,70000,70000,72000,47,"Black","Female","3RD YEAR COLLEGE","Never Married","South"
"201",392,1,53000,40000,40000,60000,52000,56000,50,"Non-Black/Non-Hispanic","Male","12TH GRADE","Married","Northeast"
"202",393,1,59000,65000,67000,68000,68000,70000,47,"Non-Black/Non-Hispanic","Male","2ND YEAR COLLEGE","Married","Northeast"
"203",395,7,0,3200,0,1000,2000,8000,47,"Black","Female","2ND YEAR COLLEGE","Divorced","Northeast"
"204",396,3,17000,16000,20000,8000,0,0,46,"Black","Male","12TH GRADE","Divorced","Northeast"
"205",397,7,0,0,0,0,0,0,50,"Black","Female","10TH GRADE","Widowed","Northeast"
"206",399,5,44000,49000,58000,62500,68000,70000,52,"Non-Black/Non-Hispanic","Female","5TH YEAR COLLEGE","Divorced","Northeast"
"207",400,5,71600,84000,84000,75000,25000,14000,48,"Non-Black/Non-Hispanic","Female","4TH YEAR COLLEGE","Married","Northeast"
"208",401,5,12900,12000,14000,11500,13000,19000,49,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"209",402,5,0,0,0,10500,19000,23000,52,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"210",405,5,12000,26000,26000,26000,28000,28000,50,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"211",406,1,30000,35000,36000,36000,19000,6700,46,"Non-Black/Non-Hispanic","Male","2ND YEAR COLLEGE","Married","Northeast"
"212",407,5,30000,58000,50000,71000,83000,78000,46,"Non-Black/Non-Hispanic","Female","6TH YEAR COLLEGE","Married","Northeast"
"213",408,1,60000,70000,70000,68000,70000,70000,48,"Non-Black/Non-Hispanic","Male","12TH GRADE","Married","Northeast"
"214",409,2,83000,1e+05,1e+05,279816,152000,162780,52,"Non-Black/Non-Hispanic","Male","4TH YEAR COLLEGE","Married","South"
"215",410,1,27500,28000,30000,31085,34000,21000,49,"Non-Black/Non-Hispanic","Male","12TH GRADE","Married","South"
